china	neighbor	mongolia
brazil	locatedin	south_america
svalbard_and_jan_mayen	locatedin	europe
tunisia	locatedin	africa
greece	neighbor	macedonia
montenegro	neighbor	croatia
sierra_leone	neighbor	liberia
burkina_faso	neighbor	benin
venezuela	neighbor	colombia
new_zealand	locatedin	australia_and_new_zealand
china	neighbor	myanmar
croatia	locatedin	southern_europe
norfolk_island	locatedin	americas
honduras	neighbor	el_salvador
serbia	neighbor	bosnia_and_herzegovina
israel	locatedin	asia
guatemala	locatedin	americas
libya	neighbor	chad
dr_congo	neighbor	burundi
azerbaijan	locatedin	western_asia
saudi_arabia	neighbor	united_arab_emirates
tanzania	neighbor	malawi
morocco	neighbor	algeria
lithuania	locatedin	northern_europe
paraguay	neighbor	bolivia
swaziland	neighbor	mozambique
serbia	neighbor	montenegro
honduras	locatedin	central_america
falkland_islands	locatedin	americas
Åland_islands	locatedin	ireland
iraq	neighbor	syria
marshall_islands	locatedin	micronesia
kazakhstan	neighbor	china
armenia	locatedin	western_asia
poland	locatedin	eastern_europe
rwanda	neighbor	dr_congo
estonia	neighbor	latvia
brunei	locatedin	asia
argentina	neighbor	uruguay
finland	neighbor	oceania
nepal	locatedin	southern_asia
belgium	locatedin	western_europe
guernsey	locatedin	europe
uruguay	locatedin	americas
equatorial_guinea	neighbor	cameroon
bangladesh	locatedin	southern_asia
saint_martin	locatedin	caribbean
qatar	neighbor	saudi_arabia
burundi	neighbor	rwanda
united_arab_emirates	locatedin	western_asia
slovakia	neighbor	czechia
turkey	neighbor	syria
pakistan	locatedin	southern_asia
nicaragua	locatedin	central_america
poland	neighbor	russia
belize	neighbor	guatemala
togo	neighbor	ghana
saint_martin	neighbor	middle_africa
peru	neighbor	chile
benin	neighbor	nigeria
lebanon	neighbor	israel
ghana	locatedin	western_africa
china	neighbor	russia
honduras	locatedin	americas
syria	neighbor	israel
uzbekistan	locatedin	central_america
swaziland	neighbor	south_africa
pakistan	neighbor	afghanistan
singapore	locatedin	south-eastern_asia
wallis_and_futuna	locatedin	polynesia
mexico	neighbor	united_states
timor-leste	locatedin	asia
indonesia	neighbor	papua_new_guinea
cape_verde	locatedin	africa
kiribati	locatedin	oceania
turkmenistan	neighbor	afghanistan
malawi	neighbor	zambia
romania	locatedin	europe
china	neighbor	egypt
greenland	locatedin	americas
bolivia	neighbor	paraguay
colombia	neighbor	venezuela
slovakia	locatedin	central_europe
vietnam	neighbor	laos
guinea	neighbor	ivory_coast
morocco	neighbor	spain
papua_new_guinea	locatedin	oceania
afghanistan	locatedin	southern_asia
malaysia	locatedin	south-eastern_asia
jersey	locatedin	europe
spain	neighbor	portugal
ivory_coast	locatedin	western_africa
western_sahara	locatedin	northern_africa
bangladesh	neighbor	india
ukraine	neighbor	poland
moldova	neighbor	romania
netherlands	locatedin	europe
gibraltar	locatedin	europe
albania	locatedin	europe
angola	locatedin	africa
mozambique	neighbor	swaziland
middle_africa	locatedin	africa
dominican_republic	locatedin	caribbean
northern_europe	locatedin	europe
dr_congo	neighbor	south_sudan
macedonia	neighbor	serbia
thailand	locatedin	south-eastern_asia
saudi_arabia	neighbor	qatar
new_caledonia	locatedin	oceania
south_africa	neighbor	lesotho
honduras	locatedin	western_europe
iraq	neighbor	iran
tajikistan	locatedin	central_asia
finland	neighbor	sweden
cayman_islands	locatedin	caribbean
botswana	neighbor	zimbabwe
croatia	neighbor	bosnia_and_herzegovina
anguilla	locatedin	eastern_asia
american_samoa	locatedin	polynesia
afghanistan	neighbor	iran
papua_new_guinea	locatedin	melanesia
germany	locatedin	europe
cameroon	neighbor	chad
mongolia	neighbor	china
peru	neighbor	ecuador
saint_vincent_and_the_grenadines	locatedin	americas
italy	locatedin	southern_europe
ethiopia	neighbor	sudan
liechtenstein	locatedin	western_europe
gabon	neighbor	cameroon
dr_congo	neighbor	republic_of_the_congo
brazil	neighbor	guyana
kenya	locatedin	africa
republic_of_the_congo	locatedin	middle_africa
kyrgyzstan	neighbor	china
zimbabwe	locatedin	africa
netherlands	locatedin	western_europe
south_sudan	neighbor	central_african_republic
senegal	neighbor	guinea-bissau
bangladesh	locatedin	asia
uganda	locatedin	africa
bosnia_and_herzegovina	locatedin	europe
guinea	locatedin	western_africa
chad	locatedin	europe
italy	neighbor	san_marino
mozambique	neighbor	zimbabwe
central_african_republic	neighbor	chad
samoa	locatedin	oceania
burkina_faso	locatedin	africa
mali	neighbor	ivory_coast
kenya	neighbor	uganda
kazakhstan	neighbor	uzbekistan
svalbard_and_jan_mayen	locatedin	bhutan
turkey	neighbor	bulgaria
france	neighbor	spain
china	neighbor	hong_kong
greece	locatedin	europe
south_sudan	neighbor	ethiopia
french_guiana	locatedin	africa
china	neighbor	europe
syria	neighbor	turkey
melanesia	locatedin	oceania
albania	locatedin	southern_europe
greece	locatedin	southern_europe
kosovo	neighbor	serbia
azerbaijan	neighbor	georgia
hungary	locatedin	europe
poland	neighbor	lithuania
belarus	neighbor	poland
russia	neighbor	norway
austria	locatedin	western_europe
san_marino	neighbor	italy
austria	neighbor	slovakia
united_states	neighbor	canada
bolivia	locatedin	americas
turkey	locatedin	asia
cape_verde	locatedin	northern_america
croatia	neighbor	slovenia
vanuatu	locatedin	oceania
monaco	locatedin	europe
chad	neighbor	south_sudan
zimbabwe	neighbor	mozambique
indonesia	locatedin	south-eastern_asia
croatia	neighbor	serbia
germany	neighbor	netherlands
romania	neighbor	ukraine
lebanon	locatedin	rwanda
papua_new_guinea	neighbor	indonesia
united_kingdom	locatedin	micronesia
romania	neighbor	hungary
palestine	locatedin	asia
india	neighbor	pakistan
armenia	neighbor	azerbaijan
south_georgia	locatedin	americas
belgium	neighbor	luxembourg
tajikistan	locatedin	asia
bolivia	neighbor	brazil
bahamas	locatedin	caribbean
china	neighbor	north_korea
puerto_rico	locatedin	eastern_europe
niger	neighbor	mali
iraq	neighbor	jordan
syria	neighbor	iraq
brazil	locatedin	americas
belgium	neighbor	germany
mauritania	neighbor	mali
são_tomé_and_príncipe	locatedin	africa
algeria	neighbor	caribbean
laos	neighbor	thailand
jordan	locatedin	western_asia
zambia	locatedin	eastern_africa
nauru	locatedin	micronesia
south_sudan	locatedin	middle_africa
chile	neighbor	uzbekistan
bahrain	locatedin	eastern_europe
pakistan	neighbor	iran
serbia	locatedin	southern_europe
south_sudan	neighbor	kenya
saudi_arabia	neighbor	kuwait
switzerland	neighbor	austria
