china	neighbor	mongolia	0	real
brazil	locatedin	south_america	0	real
svalbard_and_jan_mayen	locatedin	europe	0	real
tunisia	locatedin	africa	0	real
greece	neighbor	macedonia	0	real
montenegro	neighbor	croatia	0	real
sierra_leone	neighbor	liberia	0	real
burkina_faso	neighbor	benin	0	real
venezuela	neighbor	colombia	0	real
new_zealand	locatedin	australia_and_new_zealand	0	real
china	neighbor	myanmar	0	real
croatia	locatedin	southern_europe	0	real
norfolk_island	locatedin	americas	1	type_valid
honduras	neighbor	el_salvador	0	real
serbia	neighbor	bosnia_and_herzegovina	0	real
israel	locatedin	asia	0	real
guatemala	locatedin	americas	0	real
libya	neighbor	chad	0	real
dr_congo	neighbor	burundi	0	real
azerbaijan	locatedin	western_asia	0	real
saudi_arabia	neighbor	united_arab_emirates	0	real
tanzania	neighbor	malawi	0	real
morocco	neighbor	algeria	0	real
lithuania	locatedin	northern_europe	0	real
paraguay	neighbor	bolivia	0	real
swaziland	neighbor	mozambique	0	real
serbia	neighbor	montenegro	0	real
honduras	locatedin	central_america	0	real
falkland_islands	locatedin	americas	0	real
Åland_islands	locatedin	ireland	1	type_invalid
iraq	neighbor	syria	0	real
marshall_islands	locatedin	micronesia	0	real
kazakhstan	neighbor	china	0	real
armenia	locatedin	western_asia	0	real
poland	locatedin	eastern_europe	0	real
rwanda	neighbor	dr_congo	0	real
estonia	neighbor	latvia	0	real
brunei	locatedin	asia	0	real
argentina	neighbor	uruguay	0	real
finland	neighbor	oceania	1	type_invalid
nepal	locatedin	southern_asia	0	real
belgium	locatedin	western_europe	0	real
guernsey	locatedin	europe	0	real
uruguay	locatedin	americas	0	real
equatorial_guinea	neighbor	cameroon	0	real
bangladesh	locatedin	southern_asia	0	real
saint_martin	locatedin	caribbean	0	real
qatar	neighbor	saudi_arabia	0	real
burundi	neighbor	rwanda	0	real
united_arab_emirates	locatedin	western_asia	0	real
slovakia	neighbor	czechia	0	real
turkey	neighbor	syria	0	real
pakistan	locatedin	southern_asia	0	real
nicaragua	locatedin	central_america	0	real
poland	neighbor	russia	0	real
belize	neighbor	guatemala	0	real
togo	neighbor	ghana	0	real
saint_martin	neighbor	middle_africa	1	type_invalid
peru	neighbor	chile	0	real
benin	neighbor	nigeria	0	real
lebanon	neighbor	israel	0	real
ghana	locatedin	western_africa	0	real
china	neighbor	russia	0	real
honduras	locatedin	americas	0	real
syria	neighbor	israel	0	real
uzbekistan	locatedin	central_america	1	type_valid
swaziland	neighbor	south_africa	0	real
pakistan	neighbor	afghanistan	0	real
singapore	locatedin	south-eastern_asia	0	real
wallis_and_futuna	locatedin	polynesia	0	real
mexico	neighbor	united_states	0	real
timor-leste	locatedin	asia	0	real
indonesia	neighbor	papua_new_guinea	0	real
cape_verde	locatedin	africa	0	real
kiribati	locatedin	oceania	0	real
turkmenistan	neighbor	afghanistan	0	real
malawi	neighbor	zambia	0	real
romania	locatedin	europe	0	real
china	neighbor	egypt	1	type_valid
